link_kost,nama_kost,alamat_kost_1,alamat_kost_2,latitude,longitude,jenis_kost,luas_kamar,fasilitas_gedung,sekitar_gedung,harga_mulai,tipe_kamar,tipe_kamar (nama_kamar),tipe_kamar (luas_kamar),tipe_kamar (harga_kamar),tipe_kamar (spesifikasi_kamar),tipe_kamar (fasilitas_kamar)
https://infokost.id/listing/kost-jalan-mawar-no-33/,Kost Jalan Mawar No. 33,"Jl. Bunga Mawar No.33 RT.13/RW.2, Cipete Sel. Kec. Cilandak Kota Jakarta Selatan Daerah Khusus Ibukota Jakarta 12410","CIPETE SELATAN,           CILANDAK,           KOTA JAKARTA SELATAN,           DKI JAKARTA           12410",-6.270145531835973,106.80778981865178,Kost Campur,,"[' Area makan', ' Area parkir', ' CCTV', ' Dapur', ' Dispenser', ' Kulkas', ' Microwave', ' Ruang santai / ruang tamu', ' Wifi']","['Stasiun MRT Haji Nawi', 'LOTTE Mart Fatmawati', 'ITC Fatmawati']",Rp 4.000.000/bulan,yes,[' Tipe A'],['Luas kamar: 12m'],"[' Rp 4.000.000', ' ']","[['1 Tempat tidur (160x200) 2 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']]","[['AC', 'Kursi', 'Lemari', 'Meja', 'Sprei', 'TV Kabel']]"
https://infokost.id/listing/kost-ibu-wawan-sukajadi-bandung/,Kost Ibu Wawan Sukajadi Bandung,jalan jurang gg mamapura no 686b/181 kec sukajadi kel pasteur bandung,"SARIJADI,           SUKASARI,           KOTA BANDUNG,           JAWA BARAT",-6.887903027,107.6005531,Kost Campur,Luas Kamar: 8--10 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 800.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-newton-curug-tangerang/,Kost Newton Curug Tangerang,"Jl. Newton nomor 11, RW.021/RT.01, Binong, Kec. Karawaci, Tangerang, Banten 15810","BINONG,           CURUG,           KABUPATEN TANGERANG,           BANTEN           15810",-6.229547356665261,106.58708776816623,Kost Campur,,"[' Area makan', ' Area parkir', ' CCTV', ' Dapur', ' Dispenser', ' Kulkas', ' Laundry', ' Lift', ' Ruang santai / ruang tamu', ' Wifi']","['Rumah Sakit Siloam Lippo Village', 'Imperial Klub Golf', 'SPBU', 'Supermal Karawaci', 'Universitas Pelita Harapan']",Rp 2.250.000/bulan,yes,"[' Master Twin Single With Window', ' Pocket Lite Single Bed With Window']","['Luas kamar: 21m', 'Luas kamar: 7,20m']","[' Rp 3.500.000', ' ', ' Rp 2.250.000', ' ']","[['2 Tempat tidur (100x200) 2 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air'], ['1 Tempat tidur (100x200) 1 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']]","[['AC', 'Kursi', 'Lemari', 'Meja', 'TV'], ['AC', 'Kursi', 'Lemari', 'Meja', 'TV']]"
https://infokost.id/listing/kost-yuyun/,Kost Yuyun,"Jl. Majapahit No.3, RT.14/RW.8, South Petojo, Gambir, Central Jakarta City, Jakarta 10160","PETOJO SELATAN,           GAMBIR,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10160",-6.168701166247379,106.82097592856414,Kost Campur,,"[' Area parkir', ' Dapur', ' Kulkas', ' Ruang santai / ruang tamu', ' Wifi']","['Gajah Mada Plaza', 'Monas', 'Bank DKI Kantor Pusat', 'Museum Taman Prasasti']",Rp 2.300.000/bulan,yes,"[' Standard Room - Double Bed', ' Large Room - Double Bed']","['Luas kamar: 9m', 'Luas kamar: 12m']","[' Rp 2.300.000', ' ', ' Rp 2.750.000', ' ']","[['1 Tempat tidur (160x200) 2 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Pemanas air'], ['1 Tempat tidur (160x200) 2 orang', 'Tidak termasuk listrik', 'Kamar mandi dalam, Shower, Pemanas air']]","[['AC', 'Lemari'], ['AC', 'Lemari']]"
https://infokost.id/listing/rukita-lombok-menteng/,Rukita Lombok Menteng,"Jalan Lombok No.55 Paviliun RT004/RW005 Kelurahan Gondangdia, Kecamatan Menteng, Jakarta Pusat","GONDANGDIA,           MENTENG,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10350",-6.1869195,106.8192313,Kost Campur,,"[' Area makan', ' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Laundry', ' Meja kompor', ' Ruang santai / ruang tamu', ' Wifi']","['\xa0\xa0Supermarket', '\xa0\xa0Sekolah', '\xa0\xa0Rumah Sakit', '\xa0\xa0Rumah Makan', '\xa0\xa0Mall', '\xa0\xa0Kampus', '\xa0\xa0Halte Bus']",Rp 3.000.000/bulan,yes,"[' Pocket Single A', ' Compact Single A', ' Compact Queen A', ' Compact Queen B', ' Regular Queen B', ' Compact Queen C', ' Regular Queen A', ' Superior Queen A', ' Master Queen A', ' Executive Queen A']","['Luas kamar: 5,4m', 'Luas kamar: 8,55m', 'Luas kamar: 7,56m', 'Luas kamar: 8,7m', 'Luas kamar: 10,37m', 'Luas kamar: 9.00m', 'Luas kamar: 10,37m', 'Luas kamar: 14,4m', 'Luas kamar: 16,65m', 'Luas kamar: 19m']","[' Rp 3.000.000', ' ', ' Rp 3.300.000', ' ', ' Rp 3.300.000', ' ', ' Rp 3.300.000', ' ', ' Rp 3.200.000', ' ', ' Rp 3.550.000', ' ', ' Rp 3.700.000', ' ', ' Rp 3.700.000', ' ', ' Rp 3.600.000', ' ', ' Rp 4.500.000', ' ']","[['1 Tempat tidur (120x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air'], ['1 Tempat tidur (120x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air'], ['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi luar, Shower, Wastafel, Pemanas air'], ['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air'], ['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air'], ['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air'], ['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air'], ['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air'], ['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi luar, Shower, Wastafel, Pemanas air'], ['1 Tempat tidur (160x200) 1 orang', 'Termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']]","[['AC', 'Lemari', 'Meja', 'TV'], ['AC', 'Kursi', 'Lemari', 'Meja', 'TV'], ['AC', 'Lemari', 'Meja'], ['AC', 'Lemari', 'Meja', 'TV'], ['AC', 'Kursi', 'Lemari', 'Meja', 'TV'], ['AC', 'Kursi', 'Lemari', 'Meja', 'TV'], ['AC', 'Kursi', 'Lemari', 'Meja', 'TV'], ['AC', 'Kursi', 'Lemari', 'Meja', 'TV'], ['AC', 'Kursi', 'Lemari', 'Meja'], ['AC', 'Kursi', 'Lemari', 'Meja', 'TV']]"
https://infokost.id/listing/kost-pak-edy-andir-bandung/,Kost Pak Edy Andir Bandung,"Gg. Tunggal No.1, Garuda, Kec. Andir, Kota Bandung, Jawa Barat 40184, Indonesia","CIPEDES,           PASEH,           KABUPATEN BANDUNG,           JAWA BARAT",-6.908007861,107.5786603,Kost Campur,Luas Kamar: 8--10 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 650.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-cipaganti-tipe-b-coblong-bandung/,Kost Cipaganti Tipe B Coblong Bandung,"Jl. Cipaganti Permai III No. 4, Kec. Coblong, Kel. Cipaganti, Bandung 40131","HEGARMANAH,           CIKANCUNG,           KABUPATEN BANDUNG,           JAWA BARAT",-6.884193044,107.6038311,Kost Putri,Luas Kamar: 8--10 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 900.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-industrial-18b-coblong-bandung/,Kost industrial 18B Coblong Bandung,"Jalan Cisitu Lama VIII no 18b/154b Kecamatan Coblong, Kota Bandung, Jawa Barat, 40135","SUKAGALIH,           SUKAJADI,           KOTA BANDUNG,           JAWA BARAT",-6.879620279,107.6140189,Kost Campur,Luas Kamar: 10 -- 12 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 2.000.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-jl-radio-v-no-6/,Kost Jl. Radio V No.6,"Jl. Radio V No.6, RT.3/RW.4, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130","KRAMAT PELA,           KEBAYORAN BARU,           KOTA JAKARTA SELATAN,           DKI JAKARTA           12130",-6.247664518637065,106.79334233995466,Kost Campur,,[' Ruang santai / ruang tamu'],"['Blok M Square', 'Stasiun MRT Blok M', 'Barito Park', 'Apotek']",Rp 750.000/bulan,yes,[' Standard Non AC dan Sharing Bathroom'],['Luas kamar: 5m'],"[' Rp 750.000', ' ']","[['1 Tempat tidur (90x200) 1 orang', 'Tidak termasuk listrik', 'Kamar mandi luar']]",[[]]
https://infokost.id/listing/kost-ganeca-coblong-bandung/,Kost Ganeca Coblong Bandung,ciheulang raya 27A Coblong Bandung,"ARJUNA,           CICENDO,           KOTA BANDUNG,           JAWA BARAT",-6.886355106,107.619888,Kost Putra,Luas Kamar: 8--10 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 1.300.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-pondok-77-bandung-kidul/,Kost Pondok 77 Bandung Kidul,Jalan Waas B No 34,"DAGO,           COBLONG,           KOTA BANDUNG,           JAWA BARAT",-6.951371745,107.624154,Kost Putri,Luas Kamar: 10 -- 12 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 1.520.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/cozy-kost-salemba/,Cozy Kost Salemba,"Jl. Salemba Tengah No.60, RT.4/RW.4, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440","PASEBAN,           SENEN,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10440",-6.192889972300548,106.85483675968904,Kost Campur,,"[' Area makan', ' Area parkir', ' Dapur', ' Dispenser', ' Kulkas', ' Laundry', ' Ruang santai / ruang tamu', ' Wifi']","['Stasiun Kramat', 'RS St. Carolus – Salemba', 'Universitas Indonesia Salemba', 'Primaya Hospital Evasari', 'Pasar Pramuka']",Rp 2.500.000/bulan,yes,[' Tipe A'],['Luas kamar: 9m'],"[' Rp 2.500.000', ' ']","[['1 Tempat tidur (90x200) 1 orang', 'Tidak termasuk listrik', 'Kamar mandi dalam, Shower, Wastafel']]","[['AC', 'Kursi', 'Lemari', 'Meja', 'Sprei', 'TV Kabel']]"
https://infokost.id/listing/kost-poncis-coblong-bandung/,Kost Poncis Coblong Bandung,"Jl. Cisitu Lama I No.18, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135, Indonesia","SUKAWARNA,           SUKAJADI,           KOTA BANDUNG,           JAWA BARAT",-6.88213278,107.6133259,Kost Putra,Luas Kamar: 8--10 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 700.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-exclusive-barkah/,Kost Exclusive Barkah,"Jl. Raya Tengah No.1, RT.5/RW.12, Gedong, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13760","GEDONG,           PASAR REBO,           KOTA JAKARTA TIMUR,           DKI JAKARTA           13760",-6.298863262568463,106.85976558832515,Kost Campur,,"[' Area parkir', ' CCTV', ' Ruang santai / ruang tamu', ' Wifi']","['Rumah Sakit Umum Daerah Pasar Rebo', 'SMAN 104 Jakarta', 'GEREJA HKBP Gedong', 'Pasar Induk Kramatjati', 'Universitas Indraprasta (UNINDRA), Kampus B']",Rp 2.100.000/bulan,yes,[' Standard Double (Bed 140x200)'],['Luas kamar: 2m'],"[' Rp 2.100.000', ' ']","[['1 Tempat tidur (140x200) 1 orang', 'Tidak termasuk listrik', 'Kamar mandi dalam, Shower']]","[['AC', 'Kursi', 'Lemari', 'Meja', 'TV Kabel']]"
https://infokost.id/listing/kost-dinata-coblong-bandung/,Kost Dinata Coblong Bandung,jl.dago bangbayang no 66A Rt.5 Rw.9 Kelurahan Dago Kecamatan coblong,"LEBAK GEDE,           COBLONG,           KOTA BANDUNG,           JAWA BARAT",-6.880518054,107.6182126,Kost Putra,Luas Kamar: 8--10 m,[],"['\xa0\xa0Supermarket', ' \xa0\xa0Sekolah', ' \xa0\xa0Rumah Sakit', ' \xa0\xa0Rumah Makan', ' \xa0\xa0Mall', ' \xa0\xa0Kampus', ' \xa0\xa0Halte Bus']",Rp 800.000/bulan,no,[],[],[],[],[]
https://infokost.id/listing/kost-biru-tawakal-7/,Kost Biru Tawakal 7,"Jl. Tawakal V No.7, RW.9/RT 9, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440","TOMANG,           GROGOL PETAMBURAN,           KOTA JAKARTA BARAT,           DKI JAKARTA           11440",-6.168726951393939,106.79560771848945,Kost Campur,,"[' Area parkir', ' CCTV', ' Cleaning service', ' Dapur', ' Laundry', ' Rooftop', ' Ruang santai / ruang tamu']","['Rumah Sakit Sumber Waras', 'Universitas Trisakti', 'Roxy Square', 'ITC Roxy Mas', 'Ciputra Mall']",Rp 1.500.000/bulan,yes,"[' Comfort I', ' Comfort Window Outside', ' Comfort Window Inside', ' Cozy Window Inside A', ' Cozy Window Inside B']","['Luas kamar: 10,5m', 'Luas kamar: 9,8m', 'Luas kamar: 8,6m', 'Luas kamar: 8m', 'Luas kamar: 7,7m']","[' Rp 2.000.000', ' ', ' Rp 1.900.000', ' ', ' Rp 1.800.000', ' ', ' Rp 1.650.000', ' ', ' Rp 1.500.000', ' ']","[['1 Tempat tidur (100x200) 1 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower'], ['1 Tempat tidur (100x200) 1 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower'], ['1 Tempat tidur (100x200) 1 orang', 'Tidak termasuk listrik', 'Kamar mandi dalam, Shower'], ['1 Tempat tidur (100x200) 1 orang', 'Tidak termasuk listrik', 'Kamar mandi luar, Shower'], ['1 Tempat tidur (100x200) 1 orang', 'Tidak termasuk listrik', 'Kamar mandi luar, Shower']]","[['AC', 'Kursi', 'Lemari', 'Meja', 'Sprei'], ['AC', 'Kursi', 'Lemari', 'Meja', 'Sprei'], ['AC', 'Kursi', 'Lemari', 'Meja', 'Sprei'], ['AC', 'Kursi', 'Lemari', 'Meja', 'Sprei'], ['AC', 'Kursi', 'Lemari', 'Meja', 'Sprei']]"
https://infokost.id/listing/kost-mp-51/,Kost MP 51,"Jl. Mampang Prapatan IV No.51, RT.14/RW.2, Tegal Parang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790","MAMPANG PRAPATAN,           MAMPANG PRAPATAN,           KOTA JAKARTA SELATAN,           DKI JAKARTA           12790",-6.245833657592839,106.82822754787482,Kost Campur,,"[' Area makan', ' Area parkir', ' Dapur', ' Dispenser', ' Kompor', ' Kulkas', ' Meja kompor', ' Ruang santai / ruang tamu']","['RSUD Mampang Prapatan', 'Universitas Paramadina', 'Siloam Hospitals Mampang']",Rp 2.500.000/bulan,yes,[' Tipe A'],['Luas kamar: 9m'],"[' Rp 2.500.000', ' ']","[['1 Tempat tidur (100x200) 1 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']]","[['AC', 'Kursi', 'Lemari', 'Meja']]"
https://infokost.id/listing/kost-mawar-sharon/,Kost Mawar Sharon,"Jl. Bendungan Hilir Gg. 10 No.1 RT.1/RW.3, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210","BENDUNGAN HILIR,           TANAH ABANG,           KOTA JAKARTA PUSAT,           DKI JAKARTA           10210",-6.212070123662128,106.81258705040014,Kost Campur,,"[' Area parkir', ' CCTV', ' Dapur', ' Dispenser', ' Kulkas', ' Laundry', ' Microwave', ' Ruang santai / ruang tamu', ' Wifi']","['Rumah Sakit TNI Angkatan Laut Dr. Mintohardjo', 'Monas', 'Balai Sidang Jakarta Convention Center', 'Stasiun MRT Bendungan Hilir']",Rp 3.000.000/bulan,yes,[' Deluxe'],['Luas kamar: 12m'],"[' Rp 3.000.000', ' ']","[['1 Tempat tidur (100x200) 1 orang', 'Tidak termasuk listrik', '\n          Jendela kearah luar          ', 'Kamar mandi dalam, Shower, Wastafel, Pemanas air']]","[['AC', 'Kursi', 'Lemari', 'Meja', 'TV Kabel']]"
